845	7634	Войната на Калибан	Войната на Калибан	Джеймс С. А. Кори	Джеймс С. А. Кори
849	6890	Сделката на капитан Ворпатрил	Сделката на капитан Ворпатрил	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
852	7577	Левиатан се пробужда	Левиатан се пробужда	Джеймс С. А. Кори	Джеймс С. А. Кори
854	3406	Урагири	Урагири	Лора Джо Роуланд	Лора Джо Роуланд
861	1119	Създателят на вселени	Създателят на вселени	Филип Хосе Фармър	Филип Хосе Фармър
862	1120	Вратите на съзиданието	Вратите на съзиданието	Филип Хосе Фармър	Филип Хосе Фармър
864	1121	Невъзможен свят	Невъзможен свят	Филип Хосе Фармър	Филип Хосе Фармър
865	1122	Последният удар	Последният удар	Филип Хосе Фармър	Филип Хосе Фармър
868	1152	Царството на Хаоса	Царството на Хаоса	Роджър Зелазни	Роджър Зелазни
871	1549	Една отделна реалност	Една отделна реалност	Карлос Кастанеда	Карлос Кастанеда
872	1550	Пътуване към Икстлан	Пътуване към Икстлан	Карлос Кастанеда	Карлос Кастанеда
874	1619	Вторият пръстен на силата	Вторият пръстен на силата	Карлос Кастанеда	Карлос Кастанеда
875	1551	Дарът на Орела	Дарът на орела	Карлос Кастанеда	Карлос Кастанеда
876	1153	Козовете на съдбата	Козовете на съдбата	Роджър Зелазни	Роджър Зелазни
878	1154	Рицар на сенките	Рицар на Сенките	Роджър Зелазни	Роджър Зелазни
879	1155	Принц на Хаоса	Принц на Хаоса	Роджър Зелазни	Роджър Зелазни
886	7103	Назад по линията	Назад по линията	Робърт Силвърбърг	Робърт Силвърбърг
889	2529	Джийвс и феодалният дух	Джийвс и феодалният дух	П. Г. Удхаус	П. Г. Удхаус
891	2374	Пълнолуние в Бландингс	Пълнолуние в Бландингс	П. Г. Удхаус	П. Г. Удхаус
895	2314	Най-страхотното шоу в космоса	Най-страхотното шоу в космоса	Робърт Ранкин	Робърт Ранкин
896	1383	Магьоснически гамбит	Магьоснически гамбит	Дейвид Едингс	Дейвид Едингс
904	4891	„Звезден риск“ ООД	„Звезден риск“ ООД	Крис Бънч	Крис Бънч
905	4895	Пясъчните крале	Пясъчните крале	Джордж Р. Р. Мартин	Джордж Р. Р. Мартин
907	7207	Проломът	Проломът	Патрик Лий	Патрик Лий
908	3170	Дарвиния	Дарвиния	Робърт Чарлз Уилсън	Робърт Чарлз Уилсън
910	3426	Няма да се уплаша от злото	Няма да се уплаша от злото	Робърт Хайнлайн	Робърт Хайнлайн
913	1517	Стрелецът	Стрелецът	Стивън Кинг	Стивън Кинг
914	1523	Трите карти	Трите карти	Стивън Кинг	Стивън Кинг
915	1535	Пустош	Пустош	Стивън Кинг	Стивън Кинг
917	1536	Вълците от Кала	Вълците от Кала	Стивън Кинг	Стивън Кинг
918	1540	Песента на Сузана	Песента на Сузана	Стивън Кинг	Стивън Кинг
920	1880	Тъмната кула	Тъмната кула	Стивън Кинг	Стивън Кинг
921	7602	Вихър през ключалката	Вихър през ключалката	Стивън Кинг	Стивън Кинг
922	6969	Персевал, или Разказ за Граала	Персевал, или Разказ за Граала	Кретиен дьо Троа	Кретиен дьо Троа
926	7760	Камуфлаж	Камуфлаж	Джо Холдеман	Джо Холдеман
933	5569	Разбудени фурии	Разбудени фурии	Ричард Морган	Ричард Морган
939	7181	Сразени ангели	Сразени ангели	Ричард Морган	Ричард Морган
940	1220	Наемниците на Дендарии	Наемниците на Дендарии	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
941	4469	Войната на завоевателите	Войната на завоевателите	Тимъти Зан	Тимъти Зан
943	4169	Блекколар	Блекколар	Тимъти Зан	Тимъти Зан
944	5115	Суперкомандос	Суперкомандос	Ричард Морган	Ричард Морган
947	1942	Хронолитите	Хронолитите	Робърт Чарлз Уилсън	Робърт Чарлз Уилсън
949	7121	Вариант 13	Вариант 13	Ричард Морган	Ричард Морган
952	2356	Книгата на черепите	Книгата на черепите	Робърт Силвърбърг	Робърт Силвърбърг
953	3109	Призрачните бригади	Призрачните бригади	Джон Скалзи	Джон Скалзи
955	3120	Лицето над водата	Лицето над водата	Робърт Силвърбърг	Робърт Силвърбърг
957	2966	Ватерлиния	Ватерлиния	Александър Громов	Александър Громов
958	1229	Дипломатически имунитет	Дипломатически имунитет	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
959	4427	Криожега	Криожега	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
960	164	Паравреме	Паравреме	Х. Бийм Пайпър	Х. Бийм Пайпър
964	7227	Ангелиада	Ангелиада	Тимъти Зан	Тимъти Зан
965	1785	Лъвовете на Ал-Расан	Лъвовете на Ал-Расан	Гай Гавриел Кай	Гай Гавриел Кай
967	4759	Цитаделата на Аутарха	Цитаделата на аутарха	Джийн Улф	Джийн Улф
970	1228	Цивилна кампания	Цивилна кампания	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
971	953	Хиперион	Хиперион	Дан Симънс	Дан Симънс
972	1192	Еон	Еон	Грег Беър	Грег Беър
976	7380	Гонитба за Икар	Гонитба за Икар	Тимъти Зан	Тимъти Зан
977	945	Магистрала на вечността	Магистрала на вечността	Клифърд Саймък	Клифърд Саймък
978	1234	Човекът във високия замък	Човекът във високия замък	Филип К. Дик	Филип К. Дик
979	4409	Спусъкът	Спусъкът	Артър Кларк	Артър Кларк
980	1242	Господарят на светлината	Господарят на светлината	Роджър Зелазни	Роджър Зелазни
981	1242	Господарят на светлината	Господарят на светлината	Роджър Зелазни	Роджър Зелазни
